GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071,D072,D073
1400000US53033010600,53033010600,"Census Tract 106, King County, Washington",7310,401,6909,6568,5923,235,40,346,11,13,341,297,57,62,138,10,0,6,7,0,1,5,0,0,4,4,3,41,10,8,3,0,9,0,0,7,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033010701,53033010701,"Census Tract 107.01, King County, Washington",3385,432,2953,2772,1333,814,26,542,47,10,181,158,48,27,41,7,1,6,7,7,2,3,0,0,6,3,0,19,8,3,1,0,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033010702,53033010702,"Census Tract 107.02, King County, Washington",3679,298,3381,3232,1169,1447,38,503,68,7,149,134,37,21,30,1,1,14,11,5,0,1,6,0,1,6,0,15,11,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033010800,53033010800,"Census Tract 108, King County, Washington",4596,376,4220,3975,2259,466,36,1122,74,18,245,205,54,34,68,9,0,14,14,2,0,5,0,0,4,1,0,39,17,13,0,0,3,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1400000US53033010900,53033010900,"Census Tract 109, King County, Washington",1287,158,1129,1086,842,92,19,125,4,4,43,35,10,15,6,0,0,0,1,0,0,1,0,1,1,0,0,7,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033011001,53033011001,"Census Tract 110.01, King County, Washington",4534,290,4244,4042,570,1440,15,1969,43,5,202,177,37,10,43,0,1,16,26,10,6,8,0,0,11,9,0,20,12,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033011002,53033011002,"Census Tract 110.02, King County, Washington",4479,187,4292,4098,393,1124,20,2532,26,3,194,155,19,17,45,0,0,11,15,5,0,3,1,0,12,21,6,37,11,5,0,0,4,0,0,5,2,0,8,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033011101,53033011101,"Census Tract 111.01, King County, Washington",4390,252,4138,3936,552,1177,10,2092,89,16,202,170,37,7,30,3,0,14,19,1,3,7,0,0,24,25,0,27,10,3,2,1,3,0,0,3,1,0,3,0,0,0,0,0,0,0,0,1,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033011102,53033011102,"Census Tract 111.02, King County, Washington",4419,504,3915,3730,1772,692,12,1205,33,16,185,148,39,19,42,2,0,5,10,0,12,1,0,0,14,4,0,35,19,10,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033011200,53033011200,"Census Tract 112, King County, Washington",3906,1457,2449,2334,1266,344,46,610,61,7,115,104,27,22,25,6,3,5,5,0,0,1,0,0,0,9,1,8,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033011300,53033011300,"Census Tract 113, King County, Washington",5984,878,5106,4763,2980,399,84,1201,89,10,343,291,72,51,97,9,1,11,14,1,2,17,0,0,10,0,6,48,22,11,0,0,4,4,0,6,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033011401,53033011401,"Census Tract 114.01, King County, Washington",4027,670,3357,3138,1981,490,30,607,23,7,219,186,52,31,65,5,0,6,6,1,1,8,0,0,7,1,3,31,11,4,4,0,1,0,0,4,0,0,1,0,3,0,0,0,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033011402,53033011402,"Census Tract 114.02, King County, Washington",4174,986,3188,2992,1705,461,77,684,59,6,196,178,48,30,58,8,1,5,11,5,2,3,1,1,3,2,0,14,4,2,0,0,1,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1400000US53033011500,53033011500,"Census Tract 115, King County, Washington",4191,267,3924,3741,3283,121,30,286,15,6,183,158,38,27,70,2,3,3,6,1,0,1,0,0,5,2,0,22,3,4,1,0,4,0,0,5,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
1400000US53033011600,53033011600,"Census Tract 116, King County, Washington",6413,271,6142,5934,5497,105,36,268,18,10,208,193,33,29,106,2,8,1,6,0,1,4,0,0,1,2,0,13,4,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033011700,53033011700,"Census Tract 117, King County, Washington",5538,359,5179,4922,651,1447,29,2760,31,4,257,207,62,15,47,3,0,34,24,6,1,2,0,0,10,3,0,35,12,8,0,1,5,0,0,1,0,0,1,3,0,1,0,0,3,0,0,0,15,8,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033011800,53033011800,"Census Tract 118, King County, Washington",7383,815,6568,6228,1515,2612,58,1941,85,17,340,287,74,30,61,3,1,36,18,4,7,7,1,0,13,31,1,40,17,12,1,0,0,0,0,3,0,0,5,1,0,1,0,0,0,0,0,0,13,4,3,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033011900,53033011900,"Census Tract 119, King County, Washington",7108,437,6671,6192,1859,1896,36,2320,72,9,479,398,119,25,113,11,3,47,42,3,6,8,0,2,18,1,0,70,34,14,0,0,4,1,0,8,2,0,5,0,1,1,0,0,0,0,0,0,11,4,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033012000,53033012000,"Census Tract 120, King County, Washington",3349,239,3110,2936,2640,64,23,193,10,6,174,154,21,32,77,1,1,3,9,0,0,2,0,0,6,2,0,20,10,1,1,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033012100,53033012100,"Census Tract 121, King County, Washington",2681,126,2555,2449,2250,26,13,129,21,10,106,97,8,24,53,5,1,0,2,0,0,1,0,0,1,0,2,9,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033020100,53033020100,"Census Tract 201, King County, Washington",3156,62,3094,2970,2692,11,11,246,9,1,124,112,4,18,77,3,2,0,4,0,0,0,0,0,4,0,0,12,0,2,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033020200,53033020200,"Census Tract 202, King County, Washington",5566,260,5306,5130,4232,210,22,637,11,18,176,156,31,27,74,6,5,3,1,0,0,4,0,0,3,2,0,19,9,3,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033020300,53033020300,"Census Tract 203, King County, Washington",6434,441,5993,5726,3902,359,50,1380,24,11,267,239,35,42,111,9,0,6,9,3,2,2,0,0,9,11,0,26,8,2,0,0,9,0,0,4,0,0,0,0,0,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033020401,53033020401,"Census Tract 204.01, King County, Washington",3426,308,3118,2942,2279,177,28,439,3,16,176,151,30,38,62,2,2,0,4,0,1,0,0,0,11,1,0,16,2,4,0,0,2,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,9,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033020402,53033020402,"Census Tract 204.02, King County, Washington",5368,285,5083,4832,3879,236,44,645,13,15,251,228,41,45,123,6,2,7,1,0,0,1,0,0,2,0,0,21,3,3,2,0,8,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033020500,53033020500,"Census Tract 205, King County, Washington",6327,486,5841,5563,4129,274,36,1065,44,15,278,241,57,49,98,7,0,6,2,2,2,4,0,0,8,5,1,34,8,13,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033020600,53033020600,"Census Tract 206, King County, Washington",3661,228,3433,3241,2260,200,20,738,19,4,192,167,32,39,64,16,5,6,1,0,0,1,0,0,3,0,0,22,5,2,1,0,2,0,5,6,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
