GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0500000US53033,53033,"King County, Washington",0600000US5303392928,5303392928,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD,Seattle CCD,965769,451494,268.13,81.54,186.59,5175.9,2419.7
0500000US53033,53033,"King County, Washington",0700000US530339292803180,530339292803180,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Auburn city (part),Auburn city (part),6220,1910,3.19,0.02,3.18,1958.6,601.4
0500000US53033,53033,"King County, Washington",0700000US530339292807397,530339292807397,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Boulevard Park CDP,Boulevard Park CDP,5287,2262,1.61,0.07,1.54,3435.1,1469.7
0500000US53033,53033,"King County, Washington",0700000US530339292808552,530339292808552,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Bryn Mawr-Skyway CDP (part),Bryn Mawr-Skyway CDP (part),11756,4635,2.49,0.00,2.49,4720.7,1861.2
0500000US53033,53033,"King County, Washington",0700000US530339292808850,530339292808850,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Burien city,Burien city,33313,14322,13.23,5.81,7.42,4489.8,1930.3
0500000US53033,53033,"King County, Washington",0700000US530339292817635,530339292817635,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Des Moines city (part),Des Moines city (part),25463,10874,5.19,0.00,5.19,4908.7,2096.3
0500000US53033,53033,"King County, Washington",0700000US530339292819515,530339292819515,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - East Hill-Meridian CDP (part),East Hill-Meridian CDP (part),27596,9495,5.78,0.13,5.65,4885.7,1681.0
0500000US53033,53033,"King County, Washington",0700000US530339292823160,530339292823160,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Fairwood CDP (part),Fairwood CDP (part),3506,1356,0.87,0.00,0.87,4030.3,1558.8
0500000US53033,53033,"King County, Washington",0700000US530339292823515,530339292823515,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Federal Way city (part),Federal Way city (part),0,0,0.08,0.00,0.08,0.0,0.0
0500000US53033,53033,"King County, Washington",0700000US530339292835170,530339292835170,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Kenmore city (part),Kenmore city (part),913,375,0.29,0.02,0.26,3449.4,1416.8
0500000US53033,53033,"King County, Washington",0700000US530339292835415,530339292835415,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Kent city (part),Kent city (part),79234,31295,24.23,0.31,23.92,3313.1,1308.6
0500000US53033,53033,"King County, Washington",0700000US530339292837270,530339292837270,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Lake Forest Park city,Lake Forest Park city,12598,5268,3.65,0.12,3.53,3568.9,1492.4
0500000US53033,53033,"King County, Washington",0700000US530339292837420,530339292837420,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Lakeland North CDP (part),Lakeland North CDP (part),8121,2824,1.90,0.07,1.83,4438.9,1543.6
0500000US53033,53033,"King County, Washington",0700000US530339292849415,530339292849415,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Normandy Park city,Normandy Park city,6335,2838,6.68,4.16,2.52,2513.4,1126.0
0500000US53033,53033,"King County, Washington",0700000US530339292857745,530339292857745,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Renton city (part),Renton city (part),10146,4087,5.68,0.07,5.61,1808.4,728.5
0500000US53033,53033,"King County, Washington",0700000US530339292858865,530339292858865,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Riverton CDP,Riverton CDP,6407,2477,1.18,0.00,1.18,5421.3,2095.9
0500000US53033,53033,"King County, Washington",0700000US530339292862288,530339292862288,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - SeaTac city,SeaTac city,26909,10360,10.21,0.18,10.03,2682.9,1032.9
0500000US53033,53033,"King County, Washington",0700000US530339292863000,530339292863000,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Seattle city,Seattle city,608660,308516,142.65,58.71,83.94,7250.9,3675.3
0500000US53033,53033,"King County, Washington",0700000US530339292863960,530339292863960,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Shoreline city,Shoreline city,53007,22787,11.70,0.02,11.67,4540.6,1951.9
0500000US53033,53033,"King County, Washington",0700000US530339292872625,530339292872625,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Tukwila city,Tukwila city,19107,7755,9.58,0.41,9.17,2084.0,845.8
0500000US53033,53033,"King County, Washington",0700000US530339292878225,530339292878225,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - White Center CDP,White Center CDP,13495,5235,2.25,0.01,2.24,6020.8,2335.6
0500000US53033,53033,"King County, Washington",0700000US530339292899999,530339292899999,King County - COUNTY SUBDIVISION AND PLACE - Seattle CCD - Remainder of Seattle CCD,Remainder of Seattle CCD,7696,2823,15.70,11.44,4.27,1804.2,661.8
0500000US53033,53033,"King County, Washington",0600000US5303392931,5303392931,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD,Seattle East CCD,544255,234322,242.57,26.04,216.53,2513.6,1082.2
0500000US53033,53033,"King County, Washington",0700000US530339293101920,530339293101920,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Ames Lake CDP,Ames Lake CDP,1486,590,1.72,0.12,1.60,929.1,368.9
0500000US53033,53033,"King County, Washington",0700000US530339293104895,530339293104895,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Beaux Arts Village town,Beaux Arts Village town,299,118,0.17,0.08,0.08,3531.5,1393.7
0500000US53033,53033,"King County, Washington",0700000US530339293105210,530339293105210,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Bellevue city,Bellevue city,122363,55551,36.47,4.50,31.97,3827.7,1737.7
0500000US53033,53033,"King County, Washington",0700000US530339293107380,530339293107380,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Bothell city (part),Bothell city (part),17090,7553,5.66,0.00,5.66,3017.4,1333.5
0500000US53033,53033,"King County, Washington",0700000US530339293108552,530339293108552,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Bryn Mawr-Skyway CDP (part),Bryn Mawr-Skyway CDP (part),3889,1554,0.52,0.17,0.35,11177.2,4466.3
0500000US53033,53033,"King County, Washington",0700000US530339293113365,530339293113365,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Clyde Hill city,Clyde Hill city,2984,1099,1.06,0.00,1.06,2826.3,1040.9
0500000US53033,53033,"King County, Washington",0700000US530339293114940,530339293114940,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Cottage Lake CDP,Cottage Lake CDP,22494,7925,22.78,0.13,22.66,992.7,349.8
0500000US53033,53033,"King County, Washington",0700000US530339293119420,530339293119420,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Eastgate CDP,Eastgate CDP,4958,1899,1.20,0.00,1.20,4143.8,1587.1
0500000US53033,53033,"King County, Washington",0700000US530339293119857,530339293119857,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - East Renton Highlands CDP,East Renton Highlands CDP,11140,4205,11.38,0.06,11.32,984.3,371.5
0500000US53033,53033,"King County, Washington",0700000US530339293123160,530339293123160,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Fairwood CDP (part),Fairwood CDP (part),15596,6011,3.99,0.00,3.99,3905.1,1505.1
0500000US53033,53033,"King County, Washington",0700000US530339293132755,530339293132755,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Hunts Point town,Hunts Point town,394,181,0.30,0.01,0.29,1348.3,619.4
0500000US53033,53033,"King County, Washington",0700000US530339293133380,530339293133380,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Inglewood-Finn Hill CDP,Inglewood-Finn Hill CDP,22707,9188,8.00,2.19,5.82,3904.4,1579.8
0500000US53033,53033,"King County, Washington",0700000US530339293133805,530339293133805,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Issaquah city (part),Issaquah city (part),7876,3386,2.39,0.00,2.39,3289.1,1414.0
0500000US53033,53033,"King County, Washington",0700000US530339293135170,530339293135170,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Kenmore city (part),Kenmore city (part),19547,8194,5.97,0.08,5.89,3321.0,1392.2
0500000US53033,53033,"King County, Washington",0700000US530339293135835,530339293135835,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Kingsgate CDP,Kingsgate CDP,13065,5146,2.36,0.00,2.36,5542.4,2183.0
0500000US53033,53033,"King County, Washington",0700000US530339293135940,530339293135940,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Kirkland city,Kirkland city,48787,24345,11.12,0.33,10.79,4522.8,2256.9
0500000US53033,53033,"King County, Washington",0700000US530339293143062,530339293143062,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Maple Heights-Lake Desire CDP,Maple Heights-Lake Desire CDP,3152,1182,4.31,0.20,4.10,768.1,288.0
0500000US53033,53033,"King County, Washington",0700000US530339293144725,530339293144725,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Medina city,Medina city,2969,1162,4.79,3.35,1.44,2067.1,809.0
0500000US53033,53033,"King County, Washington",0700000US530339293145005,530339293145005,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Mercer Island city,Mercer Island city,22699,9930,13.11,6.79,6.32,3591.2,1571.0
0500000US53033,53033,"King County, Washington",0700000US530339293148645,530339293148645,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Newcastle city,Newcastle city,10380,4227,4.46,0.01,4.45,2334.1,950.5
0500000US53033,53033,"King County, Washington",0700000US530339293157535,530339293157535,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Redmond city,Redmond city,54144,24177,16.95,0.66,16.28,3325.1,1484.8
