GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Born in state of residence,Margin of Error; Total: - Born in state of residence,Estimate; Total: - Born in other state in the United States,Margin of Error; Total: - Born in other state in the United States,Estimate; Total: - Native; born outside the United States,Margin of Error; Total: - Native; born outside the United States,Estimate; Total: - Foreign born,Margin of Error; Total: - Foreign born
1600000US5349485,5349485,"North Bend city, Washington",301,208,139,105,162,138,0,17,0,17
1600000US5349555,5349555,"North Bonneville city, Washington",4,6,4,6,0,12,0,12,0,12
1600000US5349765,5349765,"North Fort Lewis CDP, Washington",548,204,119,86,250,142,118,84,61,59
1600000US5349940,5349940,"North Lynnwood CDP, Washington",2830,680,1295,368,566,224,225,162,744,408
1600000US5349992,5349992,"North Marysville CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5350007,5350007,"North Omak CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5350045,5350045,"Northport town, Washington",20,22,12,19,8,12,0,12,0,12
1600000US5350115,5350115,"North Puyallup CDP, Washington",11,16,11,16,0,12,0,12,0,12
1600000US5350183,5350183,"North Sultan CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5350195,5350195,"Northwest Stanwood CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5350210,5350210,"North Yelm CDP, Washington",346,225,254,166,92,80,0,12,0,12
1600000US5350325,5350325,"Oakesdale town, Washington",6,7,3,5,3,4,0,12,0,12
1600000US5350360,5350360,"Oak Harbor city, Washington",1713,375,760,243,670,215,164,87,119,113
1600000US5350430,5350430,"Oakville city, Washington",36,30,26,25,10,13,0,12,0,12
1600000US5350500,5350500,"Ocean City CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5350535,5350535,"Ocean Park CDP, Washington",56,64,29,45,27,29,0,12,0,12
1600000US5350570,5350570,"Ocean Shores city, Washington",159,161,95,89,64,78,0,17,0,17
1600000US5350745,5350745,"Odessa town, Washington",58,48,51,38,7,12,0,12,0,12
1600000US5350920,5350920,"Okanogan city, Washington",90,66,67,56,19,20,0,12,4,7
1600000US5351300,5351300,"Olympia city, Washington",2152,432,1209,304,736,212,129,67,78,69
1600000US5351340,5351340,"Omak city, Washington",411,163,263,130,109,57,39,54,0,12
1600000US5351410,5351410,"Onalaska CDP, Washington",94,107,94,107,0,12,0,12,0,12
1600000US5351795,5351795,"Orchards CDP, Washington",1458,426,909,318,533,203,2,4,14,19
1600000US5351830,5351830,"Orient CDP, Washington",25,26,8,9,17,18,0,12,0,12
1600000US5351970,5351970,"Oroville city, Washington",143,94,122,80,9,15,12,19,0,12
1600000US5352005,5352005,"Orting city, Washington",460,246,256,145,161,129,25,41,18,20
1600000US5352110,5352110,"Oso CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5352215,5352215,"Othello city, Washington",130,80,66,38,22,24,0,17,42,59
1600000US5352267,5352267,"Otis Orchards-East Farms CDP, Washington",82,73,17,29,65,66,0,17,0,17
1600000US5352285,5352285,"Outlook CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5352378,5352378,"Oyehut CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5352495,5352495,"Pacific city, Washington",631,359,271,117,303,259,57,52,0,17
1600000US5352530,5352530,"Pacific Beach CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5352600,5352600,"Packwood CDP, Washington",5,8,0,12,5,8,0,12,0,12
1600000US5352950,5352950,"Palouse city, Washington",26,17,11,9,15,12,0,12,0,12
1600000US5353265,5353265,"Parker CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5353335,5353335,"Parkland CDP, Washington",3731,657,2696,537,697,210,290,129,48,72
1600000US5353440,5353440,"Parkwood CDP, Washington",163,99,107,80,40,44,0,17,16,24
1600000US5353545,5353545,"Pasco city, Washington",2708,539,1638,360,640,257,202,177,228,123
1600000US5353720,5353720,"Pateros city, Washington",79,59,69,55,10,8,0,12,0,12
1600000US5353800,5353800,"Peaceful Valley CDP, Washington",204,135,156,94,48,68,0,12,0,12
1600000US5353930,5353930,"Pe Ell town, Washington",47,35,16,16,31,27,0,12,0,12
1600000US5354213,5354213,"Picnic Point CDP, Washington",647,231,467,178,116,79,45,37,19,24
1600000US5354405,5354405,"Pine Grove CDP, Washington",6,9,6,9,0,12,0,12,0,12
1600000US5355015,5355015,"Point Roberts CDP, Washington",51,30,6,9,20,25,19,25,6,8
1600000US5355120,5355120,"Pomeroy city, Washington",85,48,13,17,72,47,0,12,0,12
1600000US5355365,5355365,"Port Angeles city, Washington",887,211,508,164,346,144,17,26,16,23
1600000US5355400,5355400,"Port Angeles East CDP, Washington",113,84,99,82,14,20,0,12,0,12
1600000US5355540,5355540,"Porter CDP, Washington",15,20,15,20,0,12,0,12,0,12
1600000US5355612,5355612,"Port Gamble Tribal Community CDP, Washington",73,34,59,31,12,11,0,12,2,3
1600000US5355620,5355620,"Port Hadlock-Irondale CDP, Washington",261,126,179,115,82,64,0,12,0,12
1600000US5355645,5355645,"Port Ludlow CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5355785,5355785,"Port Orchard city, Washington",1013,305,464,181,385,192,122,79,42,50
1600000US5355855,5355855,"Port Townsend city, Washington",187,107,36,32,151,102,0,17,0,17
1600000US5355995,5355995,"Poulsbo city, Washington",639,230,254,164,358,153,27,23,0,19
1600000US5356150,5356150,"Prairie Heights CDP, Washington",114,89,72,62,26,39,16,25,0,12
1600000US5356170,5356170,"Prairie Ridge CDP, Washington",781,335,630,297,151,82,0,19,0,19
1600000US5356240,5356240,"Prescott city, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5356450,5356450,"Prosser city, Washington",466,435,316,302,35,43,0,17,115,129
1600000US5356555,5356555,"Puget Island CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5356625,5356625,"Pullman city, Washington",2037,289,1080,230,707,172,75,63,175,119
1600000US5356660,5356660,"Purdy CDP, Washington",51,56,29,48,14,22,8,13,0,12
1600000US5356695,5356695,"Puyallup city, Washington",2774,646,1626,411,779,275,180,123,189,185
1600000US5356905,5356905,"Queets CDP, Washington",20,16,13,17,7,11,0,12,0,12
1600000US5356975,5356975,"Quilcene CDP, Washington",6,10,6,10,0,12,0,12,0,12
1600000US5357030,5357030,"Qui-nai-elt Village CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5357115,5357115,"Quincy city, Washington",170,195,152,185,0,17,0,17,18,28
1600000US5357140,5357140,"Raft Island CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5357220,5357220,"Rainier city, Washington",115,90,62,58,50,41,0,12,3,5
1600000US5357395,5357395,"Ravensdale CDP, Washington",146,139,117,122,29,44,0,12,0,12
1600000US5357430,5357430,"Raymond city, Washington",151,79,145,79,6,9,0,12,0,12
1600000US5357465,5357465,"Reardan town, Washington",13,16,13,16,0,12,0,12,0,12
1600000US5357535,5357535,"Redmond city, Washington",2766,487,1236,317,981,232,112,96,437,192
1600000US5357745,5357745,"Renton city, Washington",7526,1046,5055,830,1695,382,295,152,481,204
1600000US5357850,5357850,"Republic city, Washington",67,48,53,42,11,16,3,5,0,12
1600000US5358235,5358235,"Richland city, Washington",2347,425,1378,341,843,296,79,65,47,45
1600000US5358410,5358410,"Ridgefield city, Washington",146,135,66,74,64,62,16,29,0,17
1600000US5358725,5358725,"Ritzville city, Washington",115,59,83,52,17,18,10,13,5,8
1600000US5358742,5358742,"Riverbend CDP, Washington",25,41,0,12,0,12,0,12,25,41
1600000US5358777,5358777,"River Road CDP, Washington",79,69,0,12,79,69,0,12,0,12
1600000US5358795,5358795,"Riverside town, Washington",7,8,7,8,0,12,0,12,0,12
1600000US5359110,5359110,"Rochester CDP, Washington",111,160,111,160,0,12,0,12,0,12
1600000US5359145,5359145,"Rockford town, Washington",10,10,8,10,2,4,0,12,0,12
1600000US5359180,5359180,"Rock Island city, Washington",42,34,23,33,19,22,0,12,0,12
1600000US5359250,5359250,"Rockport CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5359390,5359390,"Rocky Point CDP, Washington",115,69,44,44,57,52,14,24,0,12
1600000US5359635,5359635,"Ronald CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5359705,5359705,"Roosevelt CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5359775,5359775,"Rosalia town, Washington",10,11,5,7,5,9,0,12,0,12
1600000US5359845,5359845,"Rosburg CDP, Washington",11,13,3,7,8,11,0,12,0,12
1600000US5359880,5359880,"Rosedale CDP, Washington",564,250,404,220,160,85,0,12,0,12
1600000US5360055,5360055,"Roslyn city, Washington",4,6,4,6,0,12,0,12,0,12
1600000US5360160,5360160,"Roy city, Washington",41,29,23,22,15,11,3,6,0,12
1600000US5360230,5360230,"Royal City city, Washington",9,16,9,16,0,12,0,12,0,12
1600000US5360510,5360510,"Ruston town, Washington",48,27,18,13,26,21,1,3,3,5
1600000US5360580,5360580,"Ryderwood CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5360860,5360860,"St. John town, Washington",13,15,8,11,5,9,0,12,0,12
1600000US5361000,5361000,"Salmon Creek CDP, Washington",862,294,207,146,581,246,54,44,20,17
1600000US5361115,5361115,"Sammamish city, Washington",2506,392,1282,252,913,261,82,54,229,115
1600000US5361235,5361235,"Santiago CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5361350,5361350,"Satsop CDP, Washington",34,40,17,21,17,22,0,12,0,12
1600000US5362120,5362120,"Seabeck CDP, Washington",56,74,0,12,30,50,26,28,0,12
1600000US5362288,5362288,"SeaTac city, Washington",2423,536,1270,345,596,201,67,64,490,292
1600000US5363000,5363000,"Seattle city, Washington",45657,1783,24764,1190,15300,982,2352,362,3241,802
1600000US5363210,5363210,"Sedro-Woolley city, Washington",1030,437,556,180,411,314,63,56,0,19
1600000US5363245,5363245,"Sekiu CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5363280,5363280,"Selah city, Washington",152,117,127,106,25,29,0,17,0,17
1600000US5363385,5363385,"Sequim city, Washington",255,139,36,37,174,111,0,17,45,42
1600000US5363545,5363545,"Shadow Lake CDP, Washington",127,98,73,75,54,54,0,12,0,12
1600000US5363735,5363735,"Shelton city, Washington",568,213,471,197,76,64,6,11,15,16
1600000US5363960,5363960,"Shoreline city, Washington",2979,543,1666,377,1010,327,128,87,175,85
1600000US5364190,5364190,"Silvana CDP, Washington",0,12,0,12,0,12,0,12,0,12
1600000US5364365,5364365,"Silverdale CDP, Washington",1937,415,947,303,736,199,168,94,86,76
1600000US5364380,5364380,"Silver Firs CDP, Washington",1265,344,801,276,384,177,80,59,0,22
