GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Born in state of residence,Margin of Error; Total: - Born in state of residence,Estimate; Total: - Born in other state in the United States,Margin of Error; Total: - Born in other state in the United States,Estimate; Total: - Native; born outside the United States,Margin of Error; Total: - Native; born outside the United States,Estimate; Total: - Foreign born,Margin of Error; Total: - Foreign born
1400000US53033007401,53033007401,"Census Tract 74.01, King County, Washington",3627,277,1020,238,2225,210,45,42,337,142
1400000US53033007402,53033007402,"Census Tract 74.02, King County, Washington",3671,400,999,252,2344,417,105,95,223,100
1400000US53033007500,53033007500,"Census Tract 75, King County, Washington",6353,603,1850,453,3944,577,103,83,456,269
1400000US53033007600,53033007600,"Census Tract 76, King County, Washington",3179,350,1325,253,1641,280,30,28,183,99
1400000US53033007700,53033007700,"Census Tract 77, King County, Washington",3689,419,974,213,2444,391,23,30,248,131
1400000US53033007800,53033007800,"Census Tract 78, King County, Washington",4301,403,1570,308,2324,347,81,62,326,142
1400000US53033007900,53033007900,"Census Tract 79, King County, Washington",4628,592,1740,492,2282,263,192,103,414,193
1400000US53033008001,53033008001,"Census Tract 80.01, King County, Washington",3791,509,582,253,2266,394,92,76,851,447
1400000US53033008002,53033008002,"Census Tract 80.02, King County, Washington",2443,349,840,248,1497,305,30,36,76,57
1400000US53033008100,53033008100,"Census Tract 81, King County, Washington",3030,397,887,233,1760,294,58,57,325,114
1400000US53033008200,53033008200,"Census Tract 82, King County, Washington",2789,396,646,225,1969,326,0,12,174,101
1400000US53033008300,53033008300,"Census Tract 83, King County, Washington",2193,240,517,137,1409,192,32,33,235,101
1400000US53033008400,53033008400,"Census Tract 84, King County, Washington",3098,290,770,218,2049,295,31,36,248,115
1400000US53033008500,53033008500,"Census Tract 85, King County, Washington",2194,274,657,167,1358,191,0,12,179,101
1400000US53033008600,53033008600,"Census Tract 86, King County, Washington",2995,439,883,236,1987,398,54,47,71,55
1400000US53033008700,53033008700,"Census Tract 87, King County, Washington",2530,283,889,192,1435,279,77,87,129,80
1400000US53033008800,53033008800,"Census Tract 88, King County, Washington",2452,250,830,174,1481,209,23,26,118,73
1400000US53033008900,53033008900,"Census Tract 89, King County, Washington",2845,426,814,227,1786,374,12,21,233,179
1400000US53033009000,53033009000,"Census Tract 90, King County, Washington",1332,233,543,192,636,169,32,31,121,71
1400000US53033009100,53033009100,"Census Tract 91, King County, Washington",508,140,95,58,367,133,0,12,46,51
1400000US53033009200,53033009200,"Census Tract 92, King County, Washington",1247,217,420,141,693,138,4,10,130,72
1400000US53033009300,53033009300,"Census Tract 93, King County, Washington",1339,220,493,147,762,145,21,33,63,41
1400000US53033009400,53033009400,"Census Tract 94, King County, Washington",1957,285,695,197,1121,233,97,86,44,47
1400000US53033009500,53033009500,"Census Tract 95, King County, Washington",4202,372,1749,280,2231,322,73,75,149,86
1400000US53033009600,53033009600,"Census Tract 96, King County, Washington",4775,577,1720,363,2784,507,26,28,245,113
1400000US53033009701,53033009701,"Census Tract 97.01, King County, Washington",4905,595,1945,364,2476,378,82,63,402,230
1400000US53033009702,53033009702,"Census Tract 97.02, King County, Washington",4596,310,2517,264,1917,287,35,36,127,67
1400000US53033009800,53033009800,"Census Tract 98, King County, Washington",6183,560,2646,360,3104,533,109,74,324,146
1400000US53033009900,53033009900,"Census Tract 99, King County, Washington",4224,446,1503,250,2196,337,85,63,440,356
1400000US53033010001,53033010001,"Census Tract 100.01, King County, Washington",1486,184,610,123,794,163,37,35,45,39
1400000US53033010002,53033010002,"Census Tract 100.02, King County, Washington",1876,245,659,130,1092,223,43,32,82,49
1400000US53033010100,53033010100,"Census Tract 101, King County, Washington",2957,332,1077,208,1680,268,31,32,169,117
1400000US53033010200,53033010200,"Census Tract 102, King County, Washington",2864,286,1185,175,1467,195,10,15,202,90
1400000US53033010300,53033010300,"Census Tract 103, King County, Washington",2780,417,1073,278,1583,290,45,37,79,47
1400000US53033010401,53033010401,"Census Tract 104.01, King County, Washington",801,176,391,155,359,127,8,19,43,36
1400000US53033010402,53033010402,"Census Tract 104.02, King County, Washington",1264,139,596,142,574,154,2,7,92,59
1400000US53033010500,53033010500,"Census Tract 105, King County, Washington",5856,462,2151,330,3242,375,83,71,380,138
1400000US53033010600,53033010600,"Census Tract 106, King County, Washington",6383,416,3144,368,2949,316,167,85,123,71
1400000US53033010701,53033010701,"Census Tract 107.01, King County, Washington",1647,238,693,145,840,192,15,17,99,82
1400000US53033010702,53033010702,"Census Tract 107.02, King County, Washington",1356,261,493,211,640,123,38,38,185,156
1400000US53033010800,53033010800,"Census Tract 108, King County, Washington",2360,181,996,184,1347,200,9,14,8,10
1400000US53033010900,53033010900,"Census Tract 109, King County, Washington",824,99,391,108,412,73,5,7,16,16
1400000US53033011001,53033011001,"Census Tract 110.01, King County, Washington",666,153,249,98,344,103,0,12,73,66
1400000US53033011002,53033011002,"Census Tract 110.02, King County, Washington",385,94,112,78,238,70,0,12,35,41
1400000US53033011101,53033011101,"Census Tract 111.01, King County, Washington",1091,192,390,126,596,138,79,79,26,31
1400000US53033011102,53033011102,"Census Tract 111.02, King County, Washington",1891,329,955,260,820,168,19,31,97,71
1400000US53033011200,53033011200,"Census Tract 112, King County, Washington",1243,167,507,134,657,155,37,43,42,32
1400000US53033011300,53033011300,"Census Tract 113, King County, Washington",3216,306,1325,243,1490,280,33,38,368,161
1400000US53033011401,53033011401,"Census Tract 114.01, King County, Washington",1778,251,774,189,932,183,8,12,64,37
1400000US53033011402,53033011402,"Census Tract 114.02, King County, Washington",1914,226,993,214,808,142,9,14,104,46
1400000US53033011500,53033011500,"Census Tract 115, King County, Washington",3420,316,1551,268,1636,218,77,39,156,89
1400000US53033011600,53033011600,"Census Tract 116, King County, Washington",5937,393,2978,332,2735,304,33,39,191,121
1400000US53033011700,53033011700,"Census Tract 117, King County, Washington",656,180,325,129,325,103,0,17,6,11
1400000US53033011800,53033011800,"Census Tract 118, King County, Washington",1685,242,687,205,930,185,24,31,44,43
1400000US53033011900,53033011900,"Census Tract 119, King County, Washington",1821,270,932,208,745,184,63,51,81,64
1400000US53033012000,53033012000,"Census Tract 120, King County, Washington",2807,269,1395,217,1257,189,29,27,126,71
1400000US53033012100,53033012100,"Census Tract 121, King County, Washington",2030,201,1053,168,895,130,0,12,82,43
1400000US53033020100,53033020100,"Census Tract 201, King County, Washington",2605,226,1288,206,1203,145,46,33,68,53
1400000US53033020200,53033020200,"Census Tract 202, King County, Washington",4007,271,2291,339,1548,277,8,14,160,93
1400000US53033020300,53033020300,"Census Tract 203, King County, Washington",4002,377,1712,337,1905,288,0,17,385,153
1400000US53033020401,53033020401,"Census Tract 204.01, King County, Washington",2670,299,1415,282,1064,209,68,44,123,69
1400000US53033020402,53033020402,"Census Tract 204.02, King County, Washington",4104,357,2051,309,1811,298,55,46,187,146
1400000US53033020500,53033020500,"Census Tract 205, King County, Washington",4017,436,2139,376,1648,309,0,17,230,130
1400000US53033020600,53033020600,"Census Tract 206, King County, Washington",2396,232,1373,213,951,218,9,15,63,49
1400000US53033020700,53033020700,"Census Tract 207, King County, Washington",1971,278,1009,206,770,134,28,29,164,89
1400000US53033020800,53033020800,"Census Tract 208, King County, Washington",3467,194,1702,198,1416,156,51,32,298,106
1400000US53033020900,53033020900,"Census Tract 209, King County, Washington",2448,375,1352,275,890,186,36,36,170,91
1400000US53033021000,53033021000,"Census Tract 210, King County, Washington",3336,216,1913,272,1302,234,56,42,65,62
1400000US53033021100,53033021100,"Census Tract 211, King County, Washington",2526,283,1530,254,869,176,63,53,64,47
1400000US53033021300,53033021300,"Census Tract 213, King County, Washington",2805,284,1328,252,1212,152,102,75,163,70
1400000US53033021400,53033021400,"Census Tract 214, King County, Washington",3164,272,1531,209,1390,178,99,67,144,59
1400000US53033021500,53033021500,"Census Tract 215, King County, Washington",3487,292,1650,253,1658,197,78,44,101,56
1400000US53033021600,53033021600,"Census Tract 216, King County, Washington",3684,268,1947,280,1477,186,17,19,243,120
1400000US53033021700,53033021700,"Census Tract 217, King County, Washington",5928,459,2744,473,2635,390,79,54,470,247
1400000US53033021802,53033021802,"Census Tract 218.02, King County, Washington",3804,311,2241,299,1264,279,61,54,238,143
1400000US53033021803,53033021803,"Census Tract 218.03, King County, Washington",3477,293,1755,217,1401,225,53,32,268,125
1400000US53033021804,53033021804,"Census Tract 218.04, King County, Washington",3505,336,1866,312,1315,249,78,79,246,187
1400000US53033021903,53033021903,"Census Tract 219.03, King County, Washington",4653,567,2169,343,1666,227,60,56,758,548
1400000US53033021904,53033021904,"Census Tract 219.04, King County, Washington",2863,235,1307,197,1170,189,48,33,338,97
1400000US53033021905,53033021905,"Census Tract 219.05, King County, Washington",3780,335,1491,249,1820,283,63,61,406,210
1400000US53033021906,53033021906,"Census Tract 219.06, King County, Washington",2934,262,1371,247,1180,188,33,31,350,128
1400000US53033022001,53033022001,"Census Tract 220.01, King County, Washington",3872,339,1781,341,1602,291,50,53,439,197
1400000US53033022003,53033022003,"Census Tract 220.03, King County, Washington",3154,298,1575,308,1452,194,10,15,117,65
1400000US53033022005,53033022005,"Census Tract 220.05, King County, Washington",3397,291,1416,247,1524,232,0,17,457,203
1400000US53033022006,53033022006,"Census Tract 220.06, King County, Washington",2892,275,1222,269,1309,204,33,40,328,112
1400000US53033022101,53033022101,"Census Tract 221.01, King County, Washington",3878,267,1851,225,1670,200,23,25,334,137
1400000US53033022102,53033022102,"Census Tract 221.02, King County, Washington",4674,317,2397,368,1678,288,65,53,534,179
1400000US53033022201,53033022201,"Census Tract 222.01, King County, Washington",3441,271,1826,265,1287,187,74,40,254,106
1400000US53033022202,53033022202,"Census Tract 222.02, King County, Washington",5011,517,2011,356,2319,284,17,27,664,347
1400000US53033022203,53033022203,"Census Tract 222.03, King County, Washington",4084,290,1963,259,1508,217,90,45,523,137
1400000US53033022300,53033022300,"Census Tract 223, King County, Washington",2162,223,935,202,980,153,53,56,194,83
1400000US53033022400,53033022400,"Census Tract 224, King County, Washington",6929,537,2791,461,3174,378,109,81,855,285
1400000US53033022500,53033022500,"Census Tract 225, King County, Washington",6555,396,2380,344,3040,337,0,17,1135,303
1400000US53033022603,53033022603,"Census Tract 226.03, King County, Washington",3661,401,1519,332,1684,437,0,17,458,180
1400000US53033022604,53033022604,"Census Tract 226.04, King County, Washington",3352,297,1366,197,1490,242,122,76,374,142
1400000US53033022605,53033022605,"Census Tract 226.05, King County, Washington",3443,584,1154,221,1677,554,40,42,572,276
