GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
Id,Id2,Geography,Total:,Native:,Native: - Born in state of residence,Native: - Born in other state in the United States:,Native: - Born in other state in the United States: - Northeast,Native: - Born in other state in the United States: - Midwest,Native: - Born in other state in the United States: - South,Native: - Born in other state in the United States: - West,Native: - Born outside the United States:,Native: - Born outside the United States: - Puerto Rico,Native: - Born outside the United States: - U.S. Island Areas,Native: - Born outside the United States: - Born abroad of American parent(s),Foreign born:,Foreign born: - Naturalized citizen,Foreign born: - Not a citizen
1400000US53033004500,53033004500,"Census Tract 45, King County, Washington",2369,2103,782,1252,255,344,204,449,69,4,13,52,266,123,143
1400000US53033004600,53033004600,"Census Tract 46, King County, Washington",3068,2783,1279,1464,287,442,158,577,40,0,0,40,285,101,184
1400000US53033004700,53033004700,"Census Tract 47, King County, Washington",4916,4347,1979,2294,320,679,441,854,74,0,0,74,569,314,255
1400000US53033004800,53033004800,"Census Tract 48, King County, Washington",4325,4031,1650,2279,526,672,282,799,102,16,0,86,294,149,145
1400000US53033004900,53033004900,"Census Tract 49, King County, Washington",5525,5127,1832,3224,749,954,399,1122,71,0,0,71,398,181,217
1400000US53033005000,53033005000,"Census Tract 50, King County, Washington",3252,2926,957,1945,377,590,244,734,24,0,0,24,326,134,192
1400000US53033005100,53033005100,"Census Tract 51, King County, Washington",3420,3044,1370,1582,414,444,225,499,92,7,0,85,376,182,194
1400000US53033005200,53033005200,"Census Tract 52, King County, Washington",5281,4521,1696,2678,405,749,289,1235,147,0,37,110,760,291,469
1400000US53033005301,53033005301,"Census Tract 53.01, King County, Washington",8509,7120,3811,3109,232,605,475,1797,200,0,62,138,1389,370,1019
1400000US53033005302,53033005302,"Census Tract 53.02, King County, Washington",2561,1938,852,944,102,211,99,532,142,0,36,106,623,171,452
1400000US53033005400,53033005400,"Census Tract 54, King County, Washington",4241,3959,1383,2429,595,600,362,872,147,0,0,147,282,196,86
1400000US53033005600,53033005600,"Census Tract 56, King County, Washington",6229,5716,2888,2763,470,908,400,985,65,7,0,58,513,321,192
1400000US53033005700,53033005700,"Census Tract 57, King County, Washington",5990,5356,2548,2745,430,827,427,1061,63,0,28,35,634,357,277
1400000US53033005801,53033005801,"Census Tract 58.01, King County, Washington",4543,3858,1820,1882,301,630,222,729,156,0,0,156,685,189,496
1400000US53033005802,53033005802,"Census Tract 58.02, King County, Washington",4817,4383,1696,2556,459,608,446,1043,131,25,10,96,434,180,254
1400000US53033005900,53033005900,"Census Tract 59, King County, Washington",6715,6175,2265,3834,651,981,503,1699,76,0,0,76,540,155,385
1400000US53033006000,53033006000,"Census Tract 60, King County, Washington",4725,4285,1821,2372,442,742,274,914,92,6,0,86,440,222,218
1400000US53033006100,53033006100,"Census Tract 61, King County, Washington",4447,4044,1594,2391,508,708,266,909,59,0,0,59,403,261,142
1400000US53033006200,53033006200,"Census Tract 62, King County, Washington",3800,3441,1577,1793,474,502,266,551,71,10,5,56,359,235,124
1400000US53033006300,53033006300,"Census Tract 63, King County, Washington",5006,4664,2418,2180,391,629,329,831,66,0,0,66,342,221,121
1400000US53033006400,53033006400,"Census Tract 64, King County, Washington",3201,2909,1299,1581,428,380,239,534,29,0,0,29,292,176,116
1400000US53033006500,53033006500,"Census Tract 65, King County, Washington",4045,3561,1106,2350,612,629,294,815,105,3,0,102,484,257,227
1400000US53033006600,53033006600,"Census Tract 66, King County, Washington",2849,2528,872,1576,360,467,189,560,80,0,22,58,321,142,179
1400000US53033006700,53033006700,"Census Tract 67, King County, Washington",5369,4702,1747,2882,665,703,408,1106,73,0,24,49,667,284,383
1400000US53033006800,53033006800,"Census Tract 68, King County, Washington",2751,2592,1075,1431,305,412,146,568,86,0,0,86,159,59,100
1400000US53033006900,53033006900,"Census Tract 69, King County, Washington",3845,3623,1402,2177,510,679,313,675,44,0,0,44,222,128,94
1400000US53033007000,53033007000,"Census Tract 70, King County, Washington",6855,5868,1856,3933,912,1171,549,1301,79,0,0,79,987,348,639
1400000US53033007100,53033007100,"Census Tract 71, King County, Washington",1796,1623,532,1043,158,310,265,310,48,0,0,48,173,39,134
1400000US53033007200,53033007200,"Census Tract 72, King County, Washington",2969,2579,882,1638,251,407,245,735,59,8,0,51,390,170,220
1400000US53033007300,53033007300,"Census Tract 73, King County, Washington",2231,1927,827,1083,75,349,285,374,17,0,0,17,304,116,188
1400000US53033007400,53033007400,"Census Tract 74, King County, Washington",9047,7937,2272,5483,889,1362,1122,2110,182,28,7,147,1110,371,739
1400000US53033007500,53033007500,"Census Tract 75, King County, Washington",5554,4842,1316,3356,759,867,562,1168,170,49,0,121,712,315,397
1400000US53033007600,53033007600,"Census Tract 76, King County, Washington",3261,3071,951,2075,421,424,552,678,45,0,0,45,190,64,126
1400000US53033007700,53033007700,"Census Tract 77, King County, Washington",3990,3705,1507,2145,225,502,785,633,53,5,0,48,285,96,189
1400000US53033007800,53033007800,"Census Tract 78, King County, Washington",5097,4763,1836,2852,584,823,680,765,75,0,0,75,334,135,199
1400000US53033007900,53033007900,"Census Tract 79, King County, Washington",4232,3525,1110,2309,467,496,578,768,106,0,10,96,707,244,463
1400000US53033008001,53033008001,"Census Tract 80.01, King County, Washington",3477,2910,906,1951,407,617,355,572,53,0,7,46,567,204,363
1400000US53033008002,53033008002,"Census Tract 80.02, King County, Washington",2711,2409,632,1690,318,358,470,544,87,0,41,46,302,196,106
1400000US53033008100,53033008100,"Census Tract 81, King County, Washington",3461,2963,825,2096,325,615,430,726,42,12,0,30,498,260,238
1400000US53033008200,53033008200,"Census Tract 82, King County, Washington",2954,2479,797,1661,374,463,282,542,21,0,7,14,475,177,298
1400000US53033008300,53033008300,"Census Tract 83, King County, Washington",2429,1979,589,1271,202,433,234,402,119,0,23,96,450,156,294
1400000US53033008400,53033008400,"Census Tract 84, King County, Washington",3838,3175,915,2167,329,625,298,915,93,0,17,76,663,202,461
1400000US53033008500,53033008500,"Census Tract 85, King County, Washington",6025,5036,2191,2790,180,425,889,1296,55,0,7,48,989,233,756
1400000US53033008600,53033008600,"Census Tract 86, King County, Washington",4098,3354,1167,2017,282,312,377,1046,170,6,64,100,744,266,478
1400000US53033008700,53033008700,"Census Tract 87, King County, Washington",3790,3228,1555,1615,170,327,644,474,58,0,5,53,562,190,372
1400000US53033008800,53033008800,"Census Tract 88, King County, Washington",3506,3098,1348,1727,182,326,762,457,23,0,0,23,408,172,236
1400000US53033008900,53033008900,"Census Tract 89, King County, Washington",4545,3977,2003,1943,336,431,674,502,31,5,0,26,568,314,254
1400000US53033009000,53033009000,"Census Tract 90, King County, Washington",2185,1234,659,542,27,142,216,157,33,9,14,10,951,450,501
1400000US53033009100,53033009100,"Census Tract 91, King County, Washington",1952,747,270,441,32,127,179,103,36,0,0,36,1205,644,561
1400000US53033009200,53033009200,"Census Tract 92, King County, Washington",1967,1195,385,736,173,151,183,229,74,29,0,45,772,375,397
1400000US53033009300,53033009300,"Census Tract 93, King County, Washington",2562,2035,931,1069,120,327,257,365,35,15,0,20,527,228,299
1400000US53033009400,53033009400,"Census Tract 94, King County, Washington",5242,2891,1595,1226,84,359,371,412,70,0,13,57,2351,1469,882
1400000US53033009500,53033009500,"Census Tract 95, King County, Washington",5717,4806,2445,2306,498,490,634,684,55,9,0,46,911,427,484
1400000US53033009600,53033009600,"Census Tract 96, King County, Washington",4919,4576,1920,2537,486,817,279,955,119,15,0,104,343,175,168
1400000US53033009701,53033009701,"Census Tract 97.01, King County, Washington",5323,4902,2385,2461,332,802,400,927,56,0,8,48,421,269,152
