GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",2583,2433,1996,84,18,289,14,32,150,131,31,22,58,2,3,4,3,1,3,2,0,0,1,0,1,14,5,1,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",2019,1929,1683,16,11,196,3,20,90,89,8,10,52,5,6,0,2,0,0,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",1941,1832,1316,202,23,260,3,28,109,90,21,18,35,0,1,4,2,2,0,1,0,1,5,0,0,19,9,1,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",2503,2382,1887,112,26,301,2,54,121,112,19,26,36,1,11,0,7,3,1,2,0,1,3,2,0,6,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",6494,6091,4008,570,95,1056,68,294,403,352,74,65,119,7,30,7,7,1,13,2,2,3,13,6,3,50,17,2,3,2,14,2,1,3,3,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",4340,4083,2778,307,45,687,17,249,257,232,42,79,67,3,10,4,6,0,6,5,0,0,9,1,0,19,5,1,0,2,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",4848,4586,3901,184,49,346,7,99,262,223,51,50,76,5,14,1,5,0,2,2,0,5,4,8,0,34,15,6,0,0,2,0,2,6,2,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",2454,2362,2249,14,11,75,1,12,92,83,9,18,46,1,5,0,2,0,1,0,0,0,0,1,0,9,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",4131,3964,3542,76,29,244,3,70,167,146,27,24,69,4,3,3,3,0,1,1,0,0,0,8,3,20,4,5,0,0,1,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033001701,53033001701,"Census Tract 17.01, King County, Washington",3818,3597,2763,227,48,431,22,106,221,197,32,42,72,3,18,1,2,0,2,1,0,0,8,16,0,21,8,4,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1400000US53033001702,53033001702,"Census Tract 17.02, King County, Washington",4234,4029,3267,175,55,419,13,100,205,190,39,34,77,4,9,5,6,0,10,3,0,2,1,0,0,14,9,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",4535,4251,3221,259,37,608,6,120,284,261,50,35,121,4,28,2,5,0,2,4,0,0,5,5,0,21,4,2,0,0,8,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",4157,3908,3121,130,29,554,11,63,249,231,43,29,106,2,19,8,2,0,2,4,0,0,14,2,0,17,11,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",3406,3215,2785,77,23,283,4,43,191,180,31,38,86,4,10,1,3,0,0,1,0,1,2,3,0,11,4,2,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
