GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02,HC04,HC05,HC06,HC08,HC09
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographical Area,Geographical Area,Population,Housing  units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing  units
0500000US53033,53033,"King County, Washington",1550000US5301920033,5301920033,King County - PLACE - Ames Lake CDP,Ames Lake CDP,1435,533,1.80,0.12,1.68,854.0,317.2
0500000US53033,53033,"King County, Washington",1550000US5303180033,5303180033,King County - PLACE - Auburn city,Auburn city,40168,16697,20.68,0.01,20.68,1942.4,807.4
0500000US53033,53033,"King County, Washington",1550000US5304300033,5304300033,King County - PLACE - Baring CDP,Baring CDP,233,207,1.78,0.10,1.68,139.0,123.5
0500000US53033,53033,"King County, Washington",1550000US5304895033,5304895033,King County - PLACE - Beaux Arts Village town,Beaux Arts Village town,307,124,0.18,0.08,0.09,3281.9,1325.6
0500000US53033,53033,"King County, Washington",1550000US5305210033,5305210033,King County - PLACE - Bellevue city,Bellevue city,109569,48396,33.90,3.15,30.75,3563.6,1574.0
0500000US53033,53033,"King County, Washington",1550000US5306330033,5306330033,King County - PLACE - Black Diamond city,Black Diamond city,3970,1538,5.88,0.51,5.37,739.5,286.5
0500000US53033,53033,"King County, Washington",1550000US5307380033,5307380033,King County - PLACE - Bothell city,Bothell city,16185,6982,5.70,0.00,5.70,2838.4,1224.4
0500000US53033,53033,"King County, Washington",1550000US5308552033,5308552033,King County - PLACE - Bryn Mawr-Skyway CDP,Bryn Mawr-Skyway CDP,13977,5785,3.34,0.17,3.17,4408.1,1824.5
0500000US53033,53033,"King County, Washington",1550000US5308850033,5308850033,King County - PLACE - Burien city,Burien city,31881,13898,13.22,5.79,7.44,4287.0,1868.9
0500000US53033,53033,"King County, Washington",1550000US5310215033,5310215033,King County - PLACE - Carnation city,Carnation city,1893,650,1.10,0.00,1.10,1728.4,593.5
0500000US53033,53033,"King County, Washington",1550000US5310372033,5310372033,King County - PLACE - Cascade-Fairwood CDP,Cascade-Fairwood CDP,34580,13456,8.87,0.00,8.87,3898.6,1517.0
0500000US53033,53033,"King County, Washington",1550000US5313365033,5313365033,King County - PLACE - Clyde Hill city,Clyde Hill city,2890,1076,1.06,0.00,1.06,2732.2,1017.2
0500000US53033,53033,"King County, Washington",1550000US5314940033,5314940033,King County - PLACE - Cottage Lake CDP,Cottage Lake CDP,24330,7916,22.95,0.14,22.81,1066.5,347.0
0500000US53033,53033,"King County, Washington",1550000US5315290033,5315290033,King County - PLACE - Covington city,Covington city,13783,4473,5.80,0.04,5.77,2389.8,775.5
0500000US53033,53033,"King County, Washington",1550000US5317635033,5317635033,King County - PLACE - Des Moines city,Des Moines city,29267,11777,6.34,0.00,6.34,4616.5,1857.7
0500000US53033,53033,"King County, Washington",1550000US5319035033,5319035033,King County - PLACE - Duvall city,Duvall city,4616,1646,2.28,0.00,2.28,2020.5,720.5
0500000US53033,53033,"King County, Washington",1550000US5319420033,5319420033,King County - PLACE - Eastgate CDP,Eastgate CDP,4558,1743,1.26,0.00,1.26,3629.7,1388.0
0500000US53033,53033,"King County, Washington",1550000US5319515033,5319515033,King County - PLACE - East Hill-Meridian CDP,East Hill-Meridian CDP,29308,10084,8.97,0.04,8.93,3282.4,1129.4
0500000US53033,53033,"King County, Washington",1550000US5319857033,5319857033,King County - PLACE - East Renton Highlands CDP,East Renton Highlands CDP,13264,4760,12.66,0.09,12.57,1055.1,378.6
0500000US53033,53033,"King County, Washington",1550000US5322045033,5322045033,King County - PLACE - Enumclaw city,Enumclaw city,11116,4456,3.88,0.00,3.88,2864.9,1148.4
0500000US53033,53033,"King County, Washington",1550000US5323200033,5323200033,King County - PLACE - Fall City CDP,Fall City CDP,1638,649,1.31,0.00,1.31,1253.5,496.6
0500000US53033,53033,"King County, Washington",1550000US5323515033,5323515033,King County - PLACE - Federal Way city,Federal Way city,83259,32581,21.15,0.13,21.03,3959.4,1549.4
0500000US53033,53033,"King County, Washington",1550000US5331495033,5331495033,King County - PLACE - Hobart CDP,Hobart CDP,6251,2263,18.77,0.11,18.66,335.0,121.3
0500000US53033,53033,"King County, Washington",1550000US5332755033,5332755033,King County - PLACE - Hunts Point town,Hunts Point town,443,186,0.30,0.01,0.29,1516.6,636.8
0500000US53033,53033,"King County, Washington",1550000US5333380033,5333380033,King County - PLACE - Inglewood-Finn Hill CDP,Inglewood-Finn Hill CDP,22661,8553,7.96,2.18,5.78,3922.6,1480.5
0500000US53033,53033,"King County, Washington",1550000US5333805033,5333805033,King County - PLACE - Issaquah city,Issaquah city,11212,5195,8.45,0.03,8.42,1330.9,616.7
0500000US53033,53033,"King County, Washington",1550000US5335170033,5335170033,King County - PLACE - Kenmore city,Kenmore city,18678,7562,6.26,0.10,6.17,3028.7,1226.2
0500000US53033,53033,"King County, Washington",1550000US5335415033,5335415033,King County - PLACE - Kent city,Kent city,79524,32488,28.27,0.24,28.03,2836.7,1158.9
0500000US53033,53033,"King County, Washington",1550000US5335835033,5335835033,King County - PLACE - Kingsgate CDP,Kingsgate CDP,12222,4424,2.33,0.00,2.33,5255.7,1902.4
0500000US53033,53033,"King County, Washington",1550000US5335940033,5335940033,King County - PLACE - Kirkland city,Kirkland city,45054,21831,11.01,0.33,10.68,4220.3,2045.0
0500000US53033,53033,"King County, Washington",1550000US5337270033,5337270033,King County - PLACE - Lake Forest Park city,Lake Forest Park city,13142,5168,3.66,0.12,3.54,3716.2,1461.4
0500000US53033,53033,"King County, Washington",1550000US5337420033,5337420033,King County - PLACE - Lakeland North CDP,Lakeland North CDP,15085,5067,5.45,0.14,5.31,2841.4,954.4
0500000US53033,53033,"King County, Washington",1550000US5337430033,5337430033,King County - PLACE - Lakeland South CDP,Lakeland South CDP,11436,4241,5.54,0.13,5.41,2113.2,783.7
0500000US53033,53033,"King County, Washington",1550000US5337538033,5337538033,King County - PLACE - Lake Marcel-Stillwater CDP,Lake Marcel-Stillwater CDP,1381,453,1.34,0.05,1.29,1071.5,351.5
0500000US53033,53033,"King County, Washington",1550000US5337567033,5337567033,King County - PLACE - Lake Morton-Berrydale CDP,Lake Morton-Berrydale CDP,9659,3312,12.60,0.12,12.49,773.6,265.3
0500000US53033,53033,"King County, Washington",1550000US5338815033,5338815033,King County - PLACE - Lea Hill CDP,Lea Hill CDP,10871,3754,5.86,0.00,5.86,1855.0,640.6
0500000US53033,53033,"King County, Washington",1550000US5343062033,5343062033,King County - PLACE - Maple Heights-Lake Desire CDP,Maple Heights-Lake Desire CDP,2569,922,4.30,0.22,4.08,630.0,226.1
0500000US53033,53033,"King County, Washington",1550000US5343150033,5343150033,King County - PLACE - Maple Valley city,Maple Valley city,14209,4922,5.59,0.17,5.43,2617.9,906.8
0500000US53033,53033,"King County, Washington",1550000US5344725033,5344725033,King County - PLACE - Medina city,Medina city,3011,1165,4.79,3.35,1.43,2102.3,813.4
0500000US53033,53033,"King County, Washington",1550000US5345005033,5345005033,King County - PLACE - Mercer Island city,Mercer Island city,22036,8806,13.11,6.73,6.38,3452.0,1379.5
0500000US53033,53033,"King County, Washington",1550000US5346020033,5346020033,King County - PLACE - Milton city,Milton city,814,330,0.51,0.00,0.51,1582.4,641.5
0500000US53033,53033,"King County, Washington",1550000US5346215033,5346215033,King County - PLACE - Mirrormont CDP,Mirrormont CDP,3804,1365,10.40,0.04,10.36,367.3,131.8
0500000US53033,53033,"King County, Washington",1550000US5348645033,5348645033,King County - PLACE - Newcastle city,Newcastle city,7737,3117,4.48,0.01,4.47,1731.5,697.6
0500000US53033,53033,"King County, Washington",1550000US5349415033,5349415033,King County - PLACE - Normandy Park city,Normandy Park city,6392,2670,6.62,4.16,2.46,2597.3,1084.9
0500000US53033,53033,"King County, Washington",1550000US5349485033,5349485033,King County - PLACE - North Bend city,North Bend city,4746,1889,2.94,0.00,2.94,1611.6,641.4
0500000US53033,53033,"King County, Washington",1550000US5352495033,5352495033,King County - PLACE - Pacific city,Pacific city,5373,2025,1.92,0.00,1.92,2798.1,1054.6
