GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
Id,Id2,Geography,Total:,Native:,Native: - Born in state of residence,Native: - Born in other state in the United States:,Native: - Born in other state in the United States: - Northeast,Native: - Born in other state in the United States: - Midwest,Native: - Born in other state in the United States: - South,Native: - Born in other state in the United States: - West,Native: - Born outside the United States:,Native: - Born outside the United States: - Puerto Rico,Native: - Born outside the United States: - U.S. Island Areas,Native: - Born outside the United States: - Born abroad of American parent(s),Foreign born:,Foreign born: - Naturalized citizen,Foreign born: - Not a citizen
0500000US53033,53033,"King County, Washington",44239,21932,10828,10513,807,925,1936,6845,591,268,0,323,22307,4677,17630
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",299,99,44,38,0,0,8,30,17,12,0,5,200,40,160
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",127,69,37,32,0,2,0,30,0,0,0,0,58,16,42
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",27,27,14,7,0,0,4,3,6,0,0,6,0,0,0
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",184,153,98,45,0,9,12,24,10,0,0,10,31,18,13
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",112,34,0,24,0,0,10,14,10,10,0,0,78,9,69
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",55,44,29,15,15,0,0,0,0,0,0,0,11,11,0
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",108,46,0,46,0,0,16,30,0,0,0,0,62,34,28
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",217,130,35,95,35,0,6,54,0,0,0,0,87,11,76
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",52,25,20,0,0,0,0,0,5,0,0,5,27,15,12
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",32,23,3,20,0,5,6,9,0,0,0,0,9,0,9
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",48,29,5,24,24,0,0,0,0,0,0,0,19,19,0
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",145,75,75,0,0,0,0,0,0,0,0,0,70,28,42
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",90,49,36,13,0,0,0,13,0,0,0,0,41,21,20
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",83,58,13,45,0,0,0,45,0,0,0,0,25,0,25
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",19,8,0,8,0,0,0,8,0,0,0,0,11,6,5
1400000US53033001700,53033001700,"Census Tract 17, King County, Washington",115,59,36,23,0,0,13,10,0,0,0,0,56,8,48
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",170,63,25,38,6,0,6,26,0,0,0,0,107,16,91
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",57,39,34,5,0,0,0,5,0,0,0,0,18,0,18
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",70,51,17,34,9,5,0,20,0,0,0,0,19,6,13
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",17,5,0,5,0,0,0,5,0,0,0,0,12,12,0
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",90,45,36,9,0,0,0,9,0,0,0,0,45,6,39
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",12,12,6,6,6,0,0,0,0,0,0,0,0,0,0
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",82,47,13,34,0,7,0,27,0,0,0,0,35,19,16
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",23,14,8,6,0,0,0,6,0,0,0,0,9,0,9
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",56,21,0,21,0,0,0,21,0,0,0,0,35,10,25
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",7,7,0,7,0,0,7,0,0,0,0,0,0,0,0
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",42,17,12,5,0,0,0,5,0,0,0,0,25,25,0
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",84,84,51,33,0,0,17,16,0,0,0,0,0,0,0
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",32,28,6,22,7,0,8,7,0,0,0,0,4,4,0
1400000US53033003200,53033003200,"Census Tract 32, King County, Washington",49,27,14,13,0,0,0,13,0,0,0,0,22,0,22
1400000US53033003300,53033003300,"Census Tract 33, King County, Washington",104,104,40,64,0,0,26,38,0,0,0,0,0,0,0
